student_id,course,final_grade
S0918,Data Science,82.0
S0919,Data Engineering,96.0
S0920,Cloud Computing,85.0
S0921,Cloud Computing,72.0
S0922,AI Fundamentals,97.0
S0923,Data Science,58.0
S0924,Data Engineering,53.0
S0925,Data Science,86.0
S0926,Data Engineering,64.0
S0927,AI Fundamentals,86.0
S0928,Cloud Computing,67.0
S0929,AI Fundamentals,69.0
S0930,Cloud Computing,74.0
S0931,Data Science,74.0
S0932,Cloud Computing,85.0
S0933,Data Engineering,100.0
S0934,AI Fundamentals,51.0
S0935,Cloud Computing,62.0
S0936,Cloud Computing,70.0
S0937,Data Science,57.0
S0938,Data Science,72.0
S0939,Data Science,94.0
S0940,Data Engineering,65.0
S0941,Data Science,82.0
S0942,Cloud Computing,83.0
S0943,Data Engineering,63.0
S0944,Data Science,51.0
S0945,Cloud Computing,53.0
S0946,Data Engineering,89.0
S0947,Cloud Computing,86.0
S0948,Data Science,88.0
S0949,Data Science,77.0
S0950,Data Engineering,84.0
S0951,AI Fundamentals,95.0
S0952,Cloud Computing,88.0
S0953,Cloud Computing,97.0
S0954,AI Fundamentals,75.0
S0955,AI Fundamentals,66.0
S0956,Cloud Computing,98.0
S0957,Data Engineering,100.0
S0958,AI Fundamentals,59.0
S0959,Data Science,75.0
S0960,Data Engineering,50.0
S0961,AI Fundamentals,65.0
S0962,Data Science,66.0
S0963,Data Science,92.0
S0964,Cloud Computing,86.0
S0965,Data Engineering,57.0
S0966,AI Fundamentals,73.0
S0967,Data Science,99.0
S0968,Cloud Computing,90.0
S0969,AI Fundamentals,88.0
S0970,Data Science,95.0
S0971,Cloud Computing,87.0
S0972,Data Science,99.0
S0973,Cloud Computing,87.0
S0974,Cloud Computing,54.0
S0975,Data Engineering,84.0
S0976,AI Fundamentals,72.0
S0977,Cloud Computing,99.0
S0978,Data Science,80.0
S0979,AI Fundamentals,83.0
S0980,AI Fundamentals,77.0
S0981,AI Fundamentals,57.0
S0982,Data Engineering,63.0
S0983,Cloud Computing,75.0
S0984,Cloud Computing,87.0
S0985,Cloud Computing,81.0
S0986,Cloud Computing,86.0
S0987,Data Science,99.0
S0988,Cloud Computing,97.0
S0989,AI Fundamentals,89.0
S0990,Cloud Computing,58.0
S0991,Cloud Computing,68.0
S0992,Cloud Computing,70.0
S0993,Cloud Computing,75.0
S0994,Data Engineering,89.0
S0995,AI Fundamentals,79.0
S0996,Data Engineering,52.0
S0997,AI Fundamentals,90.0
S0998,Cloud Computing,100.0
S0999,Cloud Computing,67.0
S1000,AI Fundamentals,90.0
